                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9208,                 4.2133,                 4.1469,                0.00083,                0.08065,                0.00049,                0.00015,                 3.9379,                 4.1306,                 4.1275,             0.00065152,             0.00065152,             0.00065152
                      2,                 3.4219,                 3.7753,                 3.7109,                0.00148,                0.14355,                0.00102,                0.00031,                 3.6124,                  3.825,                 3.6824,              0.0012921,              0.0012921,              0.0012921
                      3,                 3.0192,                 3.3817,                 3.1892,                0.06869,                0.04194,                0.01441,                0.00565,                 3.2093,                 3.9505,                 3.5848,              0.0019062,              0.0019062,              0.0019062
                      4,                 2.7971,                 3.0904,                  2.982,                0.11157,                 0.0871,                0.03217,                0.01469,                 2.6939,                 5.3373,                 3.2246,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.6739,                 2.8539,                 2.7329,                0.13792,                0.18226,                0.07251,                0.02128,                 2.6804,                 3.5963,                 2.7288,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.5706,                 2.7774,                 2.6512,                0.40683,                0.18871,                 0.1893,                0.07581,                 2.4222,                 2.5739,                 2.5768,               0.001802,               0.001802,               0.001802
                      7,                 2.4843,                 2.5979,                  2.551,                0.43388,                0.27581,                0.27657,                0.12086,                 2.3736,                 2.5371,                 2.4635,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.4305,                 2.4592,                 2.4639,                0.34546,                 0.2988,                0.26237,                0.11981,                 2.2786,                 2.8958,                 2.3547,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.2718,                 2.2948,                 2.3737,                0.51673,                0.34032,                0.35291,                0.17224,                 2.2243,                 2.0684,                 2.3711,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.2377,                 2.2435,                 2.3548,                0.59506,                0.35968,                0.41024,                 0.1956,                 2.1558,                  2.005,                 2.2682,              0.0016436,              0.0016436,              0.0016436
                     11,                  2.128,                 2.1221,                 2.3132,                0.59151,                0.35645,                0.39052,                0.18055,                  2.213,                 2.0965,                 2.3104,               0.001604,               0.001604,               0.001604
                     12,                  2.186,                 2.0145,                 2.2068,                 0.4994,                0.29516,                0.33188,                0.13957,                  2.245,                 2.3767,                 2.3664,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.0675,                 1.9607,                 2.1598,                0.59177,                0.35305,                0.39457,                 0.1826,                 2.0861,                 2.0695,                 2.2479,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.0345,                 1.9046,                 2.1067,                0.57672,                0.40484,                0.43313,                0.21281,                 1.9971,                 1.8352,                 2.1305,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.9868,                 1.8613,                 2.0924,                0.68117,                0.39194,                0.45885,                0.22616,                 2.0405,                 1.8616,                 2.1464,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.9951,                 1.8447,                 2.0845,                0.62408,                0.36774,                0.43441,                0.23276,                  1.949,                 1.9243,                 2.0889,               0.001406,               0.001406,               0.001406
                     17,                 1.9464,                 1.7949,                 2.0443,                0.66121,                0.42812,                0.49507,                0.25462,                 1.9407,                 1.7015,                 2.0744,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.9459,                 1.7991,                 2.0398,                0.67418,                0.44721,                0.51564,                0.27027,                 1.9033,                 1.6107,                 2.0408,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.9153,                 1.7385,                 2.0087,                0.70088,                0.44596,                 0.5122,                0.27055,                 1.9459,                 1.6332,                 2.0466,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.8861,                 1.7295,                 1.9533,                0.73835,                0.41129,                0.48646,                0.25506,                 1.9359,                 1.6663,                 2.0783,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.8695,                 1.6883,                 1.9701,                0.68867,                0.47809,                0.54352,                0.28751,                 1.8228,                 1.6467,                 1.9714,               0.001208,               0.001208,               0.001208
                     22,                  1.834,                 1.6791,                 1.9821,                0.73945,                0.46774,                0.54468,                0.29577,                  1.867,                 1.5943,                  1.969,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.7931,                 1.6058,                 1.9358,                0.75585,                0.47258,                0.54551,                0.28834,                 1.8773,                 1.5119,                 2.0033,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.7776,                 1.6055,                 1.9153,                0.73254,                0.48226,                 0.5647,                0.30312,                 1.8474,                 1.4869,                 1.9855,              0.0010892,              0.0010892,              0.0010892
                     25,                  1.777,                 1.6039,                 1.8727,                0.72014,                0.44355,                 0.5137,                0.27683,                 1.8943,                 1.6981,                 2.0158,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.7822,                 1.5974,                 1.9235,                0.75454,                0.46606,                0.55152,                0.29929,                 1.8205,                 1.5212,                 1.9462,                0.00101,                0.00101,                0.00101
                     27,                 1.7644,                 1.5286,                 1.8609,                0.69672,                0.51129,                0.56028,                0.31366,                 1.7947,                 1.4791,                 1.9071,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.7666,                 1.4941,                 1.8531,                0.76639,                0.47622,                0.55896,                0.30064,                 1.8545,                 1.5096,                 1.9629,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.7038,                 1.4662,                  1.825,                0.74052,                 0.4871,                0.57143,                0.31879,                 1.8203,                 1.4646,                 1.9275,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.7219,                 1.4732,                 1.8073,                0.76052,                0.47258,                0.56911,                0.31893,                 1.7976,                 1.4443,                 1.9044,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.6565,                  1.451,                 1.8155,                0.74792,                0.51774,                0.57748,                0.30731,                 1.8316,                 1.4547,                 1.9351,               0.000812,               0.000812,               0.000812
                     32,                 1.7152,                 1.4752,                 1.8011,                0.74713,                    0.5,                0.59172,                0.33063,                 1.7711,                 1.3605,                 1.8745,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.6798,                 1.4209,                 1.7745,                0.77878,                0.50323,                0.59441,                0.33542,                  1.762,                 1.3969,                 1.8679,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.6687,                 1.3691,                 1.7276,                0.76233,                0.53804,                0.60561,                0.34129,                 1.7538,                 1.3267,                 1.8727,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.6931,                 1.4475,                 1.7974,                0.65314,                0.55161,                0.60043,                 0.3376,                 1.7531,                 1.3581,                 1.8639,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.6354,                 1.3889,                 1.7719,                0.79201,                0.52204,                0.60939,                0.34381,                 1.7404,                 1.3494,                 1.8364,               0.000614,               0.000614,               0.000614
                     37,                 1.6176,                 1.3725,                 1.7387,                0.71226,                0.58548,                0.62911,                0.36527,                 1.7141,                 1.2853,                 1.8222,              0.0005744,              0.0005744,              0.0005744
                     38,                  1.613,                  1.336,                 1.7182,                0.73533,                0.54194,                0.60714,                0.34669,                 1.7186,                 1.3108,                 1.8354,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.6005,                 1.3307,                 1.7327,                0.80136,                0.54194,                 0.6347,                0.37535,                 1.6905,                 1.2626,                 1.8084,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.6157,                 1.3689,                 1.7439,                0.75734,                0.54032,                0.62669,                0.35864,                 1.7303,                 1.3041,                 1.8265,              0.0004556,              0.0004556,              0.0004556
                     41,                  1.536,                 1.2782,                 1.7411,                0.74502,                 0.5561,                0.63319,                0.37083,                 1.6676,                 1.2734,                 1.7868,               0.000416,               0.000416,               0.000416
                     42,                 1.5342,                 1.2289,                    1.7,                0.76514,                0.55645,                0.64217,                0.37233,                  1.664,                 1.2629,                 1.7868,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.5291,                 1.2091,                 1.7086,                0.75119,                0.59032,                0.65536,                0.38136,                 1.6675,                 1.1998,                 1.7878,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.5306,                 1.1827,                 1.7116,                0.77875,                0.56129,                0.64202,                0.37468,                 1.6684,                  1.257,                 1.7797,              0.0002972,              0.0002972,              0.0002972
